,업종,항목,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
25,근해통발어업,수익,940018.0540540541,935585.0704225352,1153399.2933333332,1020886.911392405,1282351.2283066667,1573679.25546875,1544650.1364516127,1288485.8749774676,1350027.326074627,1340577.6174242424,1611296.2707402597
26,근해통발어업,이익,128729.14307459467,73594.46513244648,172361.67209333333,213755.89635443036,358126.55589333334,609259.6125442708,482092.0909811828,225728.96115923836,299598.4218420398,254930.65838207072,177626.70560191726
27,근해형망어업,비용,179556.66,339747.14935969387,290828.2993548387,243965.53215999997,222556.85054347827,257431.07552083334,232533.08188757143,252888.1783809524,306339.53658536583,322475.9913261905,360249.95597685897
28,근해형망어업,수익,249384.25,401640.306122449,349854.0,368289.06,227636.09618186715,377435.25,327186.8931142857,338443.71428571426,445669.68292682926,465239.34523809527,449345.02173913043
29,근해형망어업,이익,70445.853585,61893.1567627551,63638.60387096774,132723.52784,93818.3760731715,127191.67447916667,96939.52551242856,92698.39304761904,143964.29268292684,142763.35391190476,93225.50054488015
30,기선권현망어업,비용,2847395.938067796,2632623.970612903,2495813.6373251616,2368916.140896552,1830243.397291755,1851981.3679919862,2134393.0536128,2320965.688775833,2562726.375295833,2317894.599273981,3240792.767388305
31,기선권현망어업,수익,3101509.0508474577,2836948.5483870967,2884199.477419355,2853563.9310344825,2125237.2352941176,2332960.75,2619336.96,2688740.1041666665,3028106.2083333335,1999574.54125,3451831.25
32,기선권현망어업,이익,256329.39298271248,204324.57777419355,388385.8400941935,484647.79013793106,294993.8380023626,480979.3820080138,484943.9063872,367774.41539083334,465379.83303750004,-318320.0580239811,211038.48261169452
33,대형선망어업,비용,13551110.033391304,11020585.883428572,10493372.420352941,10844177.90663158,10327320.739578947,9989319.222545454,10266342.098909091,9674661.530947916,10597911.625,13192473.644000001,11064524.184380094
34,대형선망어업,수익,14523850.260869564,11773547.57142857,11053102.352941176,12031210.736842105,11452883.368421054,9029353.636363637,10090644.818181818,9006946.65875,11595045.072222224,14470594.166666666,12167147.304666666
35,대형선망어업,이익,974483.0895095654,752961.688,721846.6384705885,1187032.8302105262,1487543.5762105263,-719242.3134545456,48281.992000000384,723506.1278020833,2046899.447222222,1285009.4115555556,1184364.564731017
36,대형트롤어업,비용,2704175.0931555554,2135147.5833333335,2599860.2324777776,2230941.269648649,2581905.658823887,2621745.0817342633,1846902.5178594566,2023620.95516888,1822387.3728109996,2126433.2089104746,2157260.856915154
37,대형트롤어업,수익,3046735.777777778,2420128.925925926,2998727.94,2747868.135135135,3659175.181658537,3660778.0208333335,2330582.1040000003,2355486.332142857,2146754.375,2486798.725,2381555.2258064514
38,대형트롤어업,이익,344517.26213333337,284981.34259259264,410485.97418888885,517572.40602702706,1080866.8642980643,1041345.1057657367,486117.02614054346,337507.19840254856,324367.0021890002,360365.51608952554,224294.3688912978
